station address,geographic coordinates
Via Giuseppe Garibaldi, POINT(45.9845485 10.2617871)
Via Renolda, POINT(45.5148661 10.1375838)
Via Giacomo Puccini, POINT(45.6599374 10.1979101)
Via Montello, POINT(45.7414191 10.4823321)
Via Martiri della Libertà, POINT(45.600935 9.9372991)
Via Michelangelo Buonarroti, POINT(45.5257581 10.150982)
Strada San Giacomo, POINT(45.2235035 10.3166162)
VIa Nazionale, POINT(46.0298376 10.3466375)
Via Angelo Canossi, POINT(45.4687096 10.2629951)
Strada Provinciale 11, POINT(45.3598558 9.9551737)
Via XXV Aprile, POINT(45.4899831 10.181352)
Via Martiri della Libertà, POINT(45.2672558 10.2159427)
Via Panoramica, POINT(45.5985452 10.116007)
Via del Sole, POINT(45.5295462 10.0769855)
Via Aldo Moro, POINT(45.5295434 10.0783658)
Via 1 Maggio, POINT(45.4788274 10.240957)
Via Gazzo, POINT(45.2552968 10.3004294)
Via Montello, POINT(45.2494076 10.2976615)
via Giuseppe verdi, POINT(45.6381989 10.1920271)
Via Lavoratori TLM, POINT(45.6323893 10.1968108)
Via Mazzini, POINT(45.2670616 10.149216)
Via Filippo Corridoni, POINT(45.4480585 10.2234062)
Via del Palazzo, POINT(45.433387 10.2419084)
Via Vantone, POINT(45.7729889 10.5222253)
Via A. Diaz, POINT(45.5309225 10.2325885)
Via San Pietro, POINT(45.5389328 10.4137623)
Piazzale San Francesco d'Assisi, POINT(45.7388581 10.7198551)
Via Dante, POINT(45.2702351 10.2172901)
Via Papa Giovanni XXIII, POINT(45.4194913 10.0751659)
Via Valeriana, POINT(46.2393705 10.3964505)
Via Giuseppe Garibaldi, POINT(45.7192512 10.2286257)
Via Monte Mascheda, POINT(45.5229415 10.2882955)
Via Benaco, POINT(45.5950151 10.5603155)
Piazza Guglielmo Marconi, POINT(46.2216282 10.3589575)
Via Crocefisso, POINT(45.6270035 9.98548)
Via Stazione, POINT(45.9978968 10.3390067)
Via Cittadella, POINT(45.5340884 10.3662747)
Via Monticelli, POINT(45.5323136 10.5081299)
Piazza Paganora, POINT(45.5183549 10.3540901)
Via Campello, POINT(45.9474172 10.2762996)
Via Martinazzoli, POINT(45.6328409 9.9344519)
Via Unità D'Italia, POINT(45.5294479 10.5338222)
Via Guido Rossa, POINT(45.6017282 10.2126951)
Viale Giacomo Matteotti, POINT(45.4818673 10.333098)
Via San Marco, POINT(45.7282667 10.7087701)
Via Unità D'Italia, POINT(45.734619 10.7216856)
Via Padre Giulio Bevilacqua, POINT(45.3848431 10.1144713)
Via Chiari, POINT(45.5072902 9.9440345)
Via Piotti, POINT(45.7671725 10.2594323)
Piazza Liberazione, POINT(45.935637 10.2952597)
Via Cavalieri di Vittorio Veneto, POINT(45.2739608 10.0930004)
Via Giordano Bruno, POINT(45.4753672 10.2422351)
Via Nazionale, POINT(46.1678569 10.3490146)
Via Alexander Fleming, POINT(45.5699781 9.8551499)
Via Ludovico Pavoni, POINT(45.597177 10.1397414)
Via Ugo La Malfa, POINT(45.3600219 10.4208703)
Via Enrico Mattei, POINT(45.3960081 10.2929965)
Via Dante Alighieri, POINT(45.3662723 10.2191946)
Via Luzzago, POINT(45.3576339 10.1371406)
Via della Cascina Tesa, POINT(45.4917554 10.2053825)
Via Borghetto, POINT(45.5198973 10.4407871)
Via Mazzini, POINT(45.5054934 10.4182799)
Via Marconi, POINT(45.5143199 10.4622777)
Via Roma, POINT(46.2582 10.5047)
Via Fratelli Calvi, POINT(46.2550 10.5044)
Via Nazionale, POINT(46.2542 10.4995)
Via Alta Valle, POINT(46.2529 10.4946)
Via Piazza, POINT(46.2541 10.4925)
Via Tollarini, POINT(46.2509 10.4789)
Via Saletti, POINT(46.2505 10.4807)
Via Molina, POINT(46.2522 10.4682)
Via Dante, POINT(46.2504 10.4707)
Via Val d'Avio, POINT(46.2485 10.4686)
Via Traviolo, POINT(46.2426 10.4911)
Via Cavaione di Fuori, POINT(46.2432 10.4646)
Via Gavero, POINT(46.2487 10.4538)
Via Adamello, POINT(46.2422 10.4383)
Via Dante Alighieri, POINT(46.2485 10.4552)
Via Nazionale, POINT(46.2422 10.4181)
Via San Giovanni Battista, POINT(46.2409 10.4108)
Via del Piano, POINT(46.2395 10.4025)
Via Stella, POINT(46.2390 10.4000)
Via Naset, POINT(46.2368 10.3952)
Via Valeriana, POINT(46.2361 10.3911)
Via Vaiana, POINT(46.2342 10.3831)
Davena, POINT(46.2354 10.3837)
Stazione, POINT(46.2259 10.3664)
SS, POINT(46.2158 10.3565)
SS, POINT(46.2151 10.3592)
Via Piave, POINT(46.2111 10.3422)
Via Lucco, POINT(46.2120 10.3384)
SS del Tonale, POINT(46.2078 10.3481)
SS del Tonale, POINT(46.1969 10.3490)
Via Gennaro Sora, POINT(46.1739 10.3271)
Via Porro, POINT(46.1771 10.3235)
Via Generale Giuseppe Treboldi, POINT(46.1746 10.3124)
Via Brava, POINT(46.1537 10.3469)
Rino, POINT(46.1507 10.3548)
SS, POINT(46.1494 10.3479)
Miravalle, POINT(46.138 10.3545)
Comparte, POINT(46.1241 10.3429)
Malonno, POINT(46.1229 10.3198)
Borgo Nuovo, POINT(46.1125 10.3138)
Bettolino, POINT(46.0946 10.3154)
Berzo Demo, POINT(46.0923 10.3311)
Cadegnolo, POINT( 46.0756 10.3531)
Cevo, POINT(46.0800 10.3767)
Via San Marco, POINT(46.0801 10.3877)
Savione dell'Adamello, POINT(46.0928 10.4115)
Ponte, POINT(46.0707 10.4200)
Bacino Fobbio, POINT(46.0707 10.3843)
Sallero, POINT(46.0455 10.3466)
Paspardo, POINT(46.0292 10.3734)
Ono San Pietro, POINT(46.0115 10.3484)
Losine, POINT(45.9686 10.3494)
Niardo, POINT( 45.9784 10.3312)
Pescarzo, POINT(45.9531 10.3106)
Mezzarro, POINT(45.9471 10.3003)
Astrio, POINT(45.9402 10.3192)
